sec,BP-M,
0.022,225583004,
0.263,30946554,
0.512,30849246,
0.765,30827377,
1.027,30821436,
1.280,30821280,
1.561,30820106,
1.833,30816802,
2.089,30813843,
2.347,30812107,
2.641,30812482,
2.922,30811153,
3.222,30811153,
3.511,30811153,
3.821,30811153,
4.111,30811153,
4.400,30811153,
4.704,30811153,
5.008,30811153,
5.303,30811153,
5.598,30811153,
5.899,30811153,
6.206,30811153,
6.502,30811153,
6.804,30811153,
7.108,30811153,
7.401,30811153,
7.692,30811153,
7.985,30811153,
8.281,30811153,
8.577,30811153,
8.880,30811153,
9.183,30811153,
9.481,30811153,
9.775,30811153,
10.080,30811153,
10.388,30811153,
10.698,30811153,
10.994,30811153,
11.293,30811153,
11.607,30811153,
11.913,30811153,
12.215,30811153,
12.523,30811153,
12.819,30811153,
13.124,30811153,
13.438,30811153,
13.743,30811153,
14.031,30811153,
14.324,30811153,
14.615,30811153,
14.906,30811153,
15.207,30811153,
15.502,30811153,
15.802,30811153,
16.071,30811153,
16.323,30811153,
16.593,30811153,
16.802,30811153,
17.037,30811153,
17.245,30811153,
17.466,30811153,
17.690,30811153,
17.911,30811153,
18.166,30811153,
18.404,30811153,
18.611,30811153,
18.858,30811153,
19.150,30811153,
19.450,30811153,
19.752,30811153,
20.053,30811153,
20.356,30811153,
20.665,30811153,
20.968,30811153,
21.265,30811153,
21.564,30811153,
21.870,30811153,
22.179,30811153,
22.479,30811153,
22.774,30811153,
23.067,30811153,
23.368,30811153,
23.674,30811153,
23.980,30811153,
24.285,30811153,
24.581,30811153,
24.891,30811153,
25.197,30811153,
25.496,30811153,
25.791,30811153,
26.096,30811153,
26.403,30811153,
26.713,30811153,
27.018,30811153,
27.328,30811153,
27.630,30811153,
27.941,30811153,
28.246,30811153,
28.543,30811153,
28.834,30811153,
29.130,30811153,
29.433,30811153,
29.738,30811153,
30.048,30811153,
30.355,30811153,
30.656,30811153,
30.960,30811153,
31.263,30811153,
31.565,30811153,
31.842,30811153,
32.144,30811153,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
