sec,BP-S,
3.988,360200000,
4.375,1577830,
4.790,1307535,
5.190,1136243,
5.563,1022479,
5.931,979591,
6.314,953827,
6.687,922830,
7.071,907686,
7.428,894003,
7.808,878678,
8.173,867856,
8.547,859296,
8.922,856179,
9.283,854562,
9.643,841576,
10.008,841103,
10.366,840854,
10.714,840687,
11.091,840615,
11.438,840615,
11.803,840615,
12.193,840615,
12.573,840615,
12.965,840615,
13.347,840615,
13.741,840615,
14.128,840615,
14.501,840615,
14.883,840615,
15.244,840615,
15.623,840615,
16.001,840615,
16.385,840615,
16.762,840615,
17.137,840615,
17.509,840615,
17.882,840615,
18.246,840615,
18.631,840615,
19.036,840615,
19.397,840615,
19.758,840615,
20.120,840615,
20.477,840615,
20.844,840615,
21.214,840615,
21.607,840615,
21.988,840615,
22.358,840615,
22.728,840615,
23.085,840615,
23.461,840615,
23.822,840615,
24.193,840615,
24.573,840615,
24.920,840615,
25.296,840615,
25.683,840615,
26.060,840615,
26.441,840615,
26.810,840615,
27.186,840615,
27.563,840615,
27.943,840615,
28.303,840615,
28.679,840615,
29.035,840615,
29.404,840615,
29.775,840615,
30.158,840615,
30.552,840615,
30.919,840615,
31.298,840615,
31.672,840615,
32.050,840615,
32.419,840615,
32.788,840615,
33.162,840615,
33.544,840615,
33.897,840615,
34.261,840615,
34.644,840615,
35.027,840615,
35.385,840615,
35.773,840615,
36.164,840615,
36.552,840615,
36.937,840615,
37.303,840615,
37.678,840615,
38.061,840615,
38.441,840615,
38.803,840615,
39.157,840615,
39.510,840615,
39.931,840615,
40.316,840615,
40.705,840615,
41.082,840615,
41.467,840615,
41.873,840615,
42.246,840615,
42.622,840615,
42.976,840615,
43.349,840615,
43.717,840615,
44.082,840615,
44.431,840615,
44.792,840615,
45.172,840615,
45.553,840615,
45.934,840615,
46.322,840615,
46.682,840615,
47.073,840615,
47.448,840615,
47.801,840615,
48.160,840615,
48.524,840615,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
